,Neighborhood code,Neighborhood name,Price,Venue,Venue Latitude,Venue Longitude,Venue Category
0,101,PALACIO             ,1,Pizzeria Mayor,40.412788599966305,-3.7174735135512917,Pizza Place
1,101,PALACIO             ,1,Federal Café 2,40.41445972417601,-3.7087736699569414,Café
2,101,PALACIO             ,1,Gyoza Go!,40.41617944092178,-3.7086119502782817,Dumpling Restaurant
3,101,PALACIO             ,1,Pez Tortilla,40.411781658448255,-3.7105174528339666,Tapas Restaurant
4,101,PALACIO             ,1,La Taquería de Birra,40.41160529869899,-3.7135694765833738,Mexican Restaurant
5,101,PALACIO             ,1,jamones julian becerro,40.41786707725726,-3.708744238716305,Deli / Bodega
6,101,PALACIO             ,1,Steakburger Arenal,40.417776,-3.708287,Burger Joint
7,101,PALACIO             ,1,Al Settimo Cielo,40.41050892900634,-3.7103206370563853,Pizza Place
8,101,PALACIO             ,1,PinUp Beer's Burguer,40.4119581187938,-3.7101178559535106,Burger Joint
9,101,PALACIO             ,1,La Nieta Carmela,40.41055144149123,-3.7103027088945604,Snack Place
10,101,PALACIO             ,1,Cerveceria Loredo,40.421530997875,-3.71406122226014,Snack Place
11,101,PALACIO             ,1,Grill Stop,40.41201,-3.7077308,Burger Joint
12,101,PALACIO             ,1,100 Montaditos,40.41395459799019,-3.7244467409872275,Sandwich Place
13,101,PALACIO             ,1,Bar La Ribera,40.41356548430897,-3.720835447311402,Breakfast Spot
14,101,PALACIO             ,1,Cafetería Palacio Real,40.41666546228339,-3.7137007713317867,Breakfast Spot
15,101,PALACIO             ,1,Madrid Río Café Bonaparte,40.417779690042344,-3.721662982010437,Café
16,101,PALACIO             ,1,TGB (The Good Burger),40.42108206334791,-3.719966480079972,Burger Joint
17,101,PALACIO             ,1,Obrador San Francisco,40.410711,-3.71323,Bakery
18,101,PALACIO             ,1,Los Cien Balcones,40.42130760140208,-3.7178743577991993,Breakfast Spot
19,101,PALACIO             ,1,Belro's (C.C. Príncipe Pío),40.42125540118921,-3.7197926024086305,Snack Place
20,101,PALACIO             ,2,El Landó,40.411899822,-3.71507637,Spanish Restaurant
21,101,PALACIO             ,2,Charlie Champagne,40.41393640099747,-3.712647348286377,Restaurant
22,101,PALACIO             ,2,la gastroteca de santiago,40.4166394850381,-3.710943995357369,Restaurant
23,101,PALACIO             ,2,Gauranga Trascendental Food,40.412891557155,-3.7134861946105957,Vegetarian / Vegan Restaurant
24,101,PALACIO             ,2,Viva Burger,40.41263019326825,-3.7116827479753303,Vegetarian / Vegan Restaurant
25,101,PALACIO             ,2,Astór Gastrobar,40.41273,-3.709617,Spanish Restaurant
26,101,PALACIO             ,2,Juana la Loca Pintxos-Bar,40.41134,-3.711101,Tapas Restaurant
27,101,PALACIO             ,2,Taberna Errante,40.41098247599251,-3.7127128955849655,Mediterranean Restaurant
28,101,PALACIO             ,2,Seoul,40.41105892100128,-3.7180896567617623,Korean Restaurant
29,101,PALACIO             ,2,La Perejila,40.41238644200305,-3.709265060780486,Spanish Restaurant
30,101,PALACIO             ,2,Casa Lucio,40.412072753,-3.709700554,Spanish Restaurant
31,101,PALACIO             ,2,Mad Café,40.41237079206074,-3.708825691824009,American Restaurant
32,101,PALACIO             ,2,Restaurante Rasputín,40.412101165205065,-3.7135574283690183,Restaurant
33,101,PALACIO             ,2,El Senador,40.42076966674159,-3.7114585151950705,Spanish Restaurant
34,101,PALACIO             ,2,Trattoria Malatesta,40.416788,-3.707182,Italian Restaurant
